KodeUP|UrusanPemerintahan
1.01|Pendidikan
1.02|Kesehatan
1.03|Pekerjaan Umum
1.04|Perumahan Rakyat
1.05|Penataan Ruang
1.06|Perencanaan Pembangunan
1.07|Perhubungan
1.08|Lingkungan Hidup
1.10|Kependudukan dan Catatan Sipil
1.13|Sosial
1.14|Tenaga Kerja
1.15|Koperasi dan Usaha Kecil Menengah
1.16|Penanaman Modal Daerah
1.17|Kebudayaan
1.18|Pemuda dan Olah Raga
1.19|Kesatuan Bangsa dan Politik Dalam Negeri
1.20|Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian
1.22|Pemberdayaan Masyarakat dan Desa
1.25|Komunikasi dan Informatika
1.26|Perpustakaan
2.03|Energi dan Sumberdaya Mineral
2.05|Kelautan dan Perikanan