KodeOrganisasi|Organisasi
1.20.037|Kelurahan Kenari - JAKPUS
1.20.038|Kelurahan Paseban - JAKPUS
1.20.039|Kelurahan Kramat - JAKPUS
1.20.040|Kelurahan Kwitang - JAKPUS
1.20.041|Kelurahan Senen - JAKPUS
1.20.042|Kelurahan Bungur - JAKPUS
1.20.043|Kecamatan Cempaka Putih - JAKPUS
1.20.044|Kelurahan Rawasari - JAKPUS
1.20.045|Kelurahan Cempaka Putih Timur - JAKPUS
1.20.046|Kelurahan Cempaka Putih Barat - JAKPUS
1.20.047|Kecamatan Johar Baru - JAKPUS
1.20.048|Kelurahan Johar Baru - JAKPUS
1.20.049|Kelurahan Kampung Rawa - JAKPUS
1.20.050|Kelurahan Galur - JAKPUS
1.20.051|Kelurahan Tanah Tinggi - JAKPUS
1.20.052|Kecamatan Kemayoran - JAKPUS
1.20.053|Kelurahan Harapan Mulia - JAKPUS
1.20.054|Kelurahan Cempaka Baru - JAKPUS
1.20.055|Kelurahan Sumur Batu - JAKPUS
1.20.056|Kelurahan Serdang - JAKPUS
1.20.057|Kelurahan Kebon Kosong - JAKPUS
1.20.058|Kelurahan Kemayoran - JAKPUS
1.20.059|Kelurahan Utan Panjang - JAKPUS
1.20.060|Kelurahan Gunung Sahari Selatan - JAKPUS
1.20.061|Kecamatan Sawah Besar - JAKPUS
1.20.062|Kelurahan Pasar Baru - JAKPUS
1.20.063|Kelurahan Karang Anyar - JAKPUS
1.20.064|Kelurahan Kartini - JAKPUS
1.20.065|Kelurahan Gunung Sahari Utara - JAKPUS
1.20.066|Kelurahan Mangga Dua Selatan - JAKPUS
1.20.067|Kecamatan Gambir - JAKPUS
1.20.068|Kelurahan Cideng - JAKPUS
1.20.069|Kelurahan Petojo Selatan - JAKPUS
1.20.070|Kelurahan Gambir - JAKPUS
1.20.071|Kelurahan Kebon Kelapa - JAKPUS
1.20.072|Kelurahan Petojo Utara - JAKPUS
1.20.073|Kelurahan Duri Pulo - JAKPUS
1.20.078|Kota Administrasi Jakarta Utara
1.20.079|Kecamatan Penjaringan - JAKUT
1.20.080|Kelurahan Kamal Muara - JAKUT
1.20.081|Kelurahan Kapuk Muara - JAKUT
1.20.082|Kelurahan Pejagalan - JAKUT
1.20.083|Kelurahan Penjaringan - JAKUT
1.20.084|Kelurahan Pluit - JAKUT
1.20.085|Kecamatan Pademangan - JAKUT
1.20.086|Kelurahan Ancol - JAKUT
1.20.087|Kelurahan Pademangan Barat - JAKUT
1.20.088|Kelurahan Pademangan Timur - JAKUT
1.20.089|Kecamatan Tanjung Priok - JAKUT
1.20.090|Kelurahan Sunter Jaya - JAKUT
1.20.091|Kelurahan Sunter Agung - JAKUT
1.20.092|Kelurahan Papanggo - JAKUT
1.20.093|Kelurahan Warakas - JAKUT
1.20.094|Kelurahan Sungai Bambu - JAKUT
1.20.095|Kelurahan Kebon Bawang - JAKUT
1.20.096|Kelurahan Tanjung Priok - JAKUT
1.20.097|Kecamatan Koja - JAKUT
1.20.098|Kelurahan Tugu Utara - JAKUT
1.20.099|Kelurahan Tugu Selatan - JAKUT
1.20.100|Kelurahan Rawa Badak Utara - JAKUT
1.20.101|Kelurahan Koja - JAKUT
1.20.102|Kelurahan Rawa Badak Selatan - JAKUT
1.20.103|Kelurahan Lagoa - JAKUT
1.20.104|Kecamatan Kelapa Gading - JAKUT
1.20.105|Kelurahan Kelapa Gading Timur - JAKUT
1.20.106|Kelurahan Kelapa Gading Barat - JAKUT
1.20.107|Kelurahan Pegangsaan Dua - JAKUT
1.20.108|Kecamatan Cilincing - JAKUT
1.20.109|Kelurahan Sukapura - JAKUT
1.20.110|Kelurahan Rorotan - JAKUT
1.20.111|Kelurahan Marunda - JAKUT
1.20.112|Kelurahan Cilincing - JAKUT
1.20.113|Kelurahan Semper Timur - JAKUT
1.20.114|Kelurahan Semper Barat - JAKUT
1.20.115|Kelurahan Kalibaru - JAKUT
1.20.120|Kota Administrasi Jakarta Barat
1.20.121|Kecamatan Kebon Jeruk - JAKBAR
1.20.122|Kelurahan Sukabumi Selatan - JAKBAR
1.20.123|Kelurahan Sukabumi Utara - JAKBAR
1.20.124|Kelurahan Kelapa Dua - JAKBAR
1.20.125|Kelurahan Duri Kepa - JAKBAR
1.20.126|Kelurahan Kedoya Utara - JAKBAR
1.20.127|Kelurahan Kebon Jeruk - JAKBAR
1.20.128|Kelurahan Kedoya Selatan - JAKBAR
1.20.129|Kecamatan Kembangan - JAKBAR
1.20.130|Kelurahan Kembangan Selatan - JAKBAR
1.20.131|Kelurahan Meruya Utara - JAKBAR
1.20.132|Kelurahan Meruya Selatan - JAKBAR
1.20.133|Kelurahan Srengseng - JAKBAR
1.20.134|Kelurahan Joglo - JAKBAR
1.20.135|Kelurahan Kembangan Utara - JAKBAR
1.20.136|Kecamatan Cengkareng - JAKBAR
1.20.137|Kelurahan Cengkareng Barat - JAKBAR
1.20.138|Kelurahan Cengkareng Timur - JAKBAR
1.20.139|Kelurahan Kapuk - JAKBAR
1.20.140|Kelurahan Duri Kosambi - JAKBAR
1.20.141|Kelurahan Rawa Buaya - JAKBAR
1.20.142|Kelurahan Kedaung Kali Angke - JAKBAR
1.20.143|Kecamatan Kalideres - JAKBAR
1.20.144|Kelurahan Kamal - JAKBAR
1.20.145|Kelurahan Tegal Alur - JAKBAR
1.20.146|Kelurahan Pegadungan - JAKBAR
1.20.147|Kelurahan Kalideres - JAKBAR
1.20.148|Kelurahan Semanan - JAKBAR
1.20.149|Kecamatan Grogol Petamburan - JAKBAR
1.20.150|Kelurahan Tomang - JAKBAR
1.20.151|Kelurahan Tanjung Duren Utara - JAKBAR
1.20.152|Kelurahan Grogol - JAKBAR
1.20.153|Kelurahan Jelambar - JAKBAR
1.20.154|Kelurahan Jelambar Baru - JAKBAR
1.20.155|Kelurahan Wijaya Kusuma - JAKBAR
1.20.156|Kelurahan Tanjung Duren Selatan - JAKBAR
1.20.157|Kecamatan Palmerah - JAKBAR
1.20.158|Kelurahan Palmerah - JAKBAR
1.20.159|Kelurahan Kemanggisan - JAKBAR
1.20.160|Kelurahan Slipi - JAKBAR
1.20.161|Kelurahan Kota Bambu Utara - JAKBAR
1.20.162|Kelurahan Jati Pulo - JAKBAR
1.20.163|Kelurahan Kota Bambu Selatan - JAKBAR
1.20.164|Kecamatan Tambora - JAKBAR
1.20.165|Kelurahan Kalianyar - JAKBAR
1.20.166|Kelurahan Duri Utara - JAKBAR
1.20.167|Kelurahan Tanah Sereal - JAKBAR
1.20.168|Kelurahan Krendang - JAKBAR
1.20.169|Kelurahan Jembatan Besi - JAKBAR
1.20.170|Kelurahan Angke - JAKBAR
1.20.171|Kelurahan Jembatan Lima - JAKBAR
1.20.172|Kelurahan Duri Selatan - JAKBAR
1.20.173|Kelurahan Tambora - JAKBAR
1.20.174|Kelurahan Pekojan - JAKBAR
1.20.175|Kelurahan Roa Malaka - JAKBAR
1.20.176|Kecamatan Taman Sari - JAKBAR
1.20.177|Kelurahan Krukut - JAKBAR
1.20.178|Kelurahan Maphar - JAKBAR
1.20.179|Kelurahan Taman Sari - JAKBAR
1.20.180|Kelurahan Tangki - JAKBAR
1.20.181|Kelurahan Mangga Besar - JAKBAR
1.20.182|Kelurahan Keagungan - JAKBAR
1.20.183|Kelurahan Glodok - JAKBAR
1.20.184|Kelurahan Pinangsia - JAKBAR
1.20.190|Kota Administrasi Jakarta Selatan
1.20.191|Kecamatan Kebayoran Lama - JAKSEL
1.20.192|Kelurahan Kebayoran Lama Utara - JAKSEL
1.20.193|Kelurahan Kebayoran Lama Selatan - JAKSEL
1.20.194|Kelurahan Pondok Pinang - JAKSEL
1.20.195|Kelurahan Cipulir - JAKSEL
1.20.196|Kelurahan Grogol Selatan - JAKSEL
1.20.197|Kelurahan Grogol Utara - JAKSEL
1.20.198|Kecamatan Pesanggrahan - JAKSEL
1.20.199|Kelurahan Pesanggrahan - JAKSEL
1.20.200|Kelurahan Petukangan Selatan - JAKSEL
1.20.201|Kelurahan Petukangan Utara - JAKSEL
1.20.202|Kelurahan Ulujami - JAKSEL
1.20.203|Kelurahan Bintaro - JAKSEL
1.20.204|Kecamatan Pasar Minggu - JAKSEL
1.20.205|Kelurahan Pasar Minggu - JAKSEL
1.20.206|Kelurahan Jati Padang - JAKSEL
1.20.207|Kelurahan Ragunan - JAKSEL
1.20.208|Kelurahan Cilandak Timur - JAKSEL
1.20.209|Kelurahan Kebagusan - JAKSEL
1.20.210|Kelurahan Pejaten Barat - JAKSEL
1.20.211|Kelurahan Pejaten Timur - JAKSEL
1.20.212|Kecamatan Jagakarsa - JAKSEL
1.20.213|Kelurahan Jagakarsa - JAKSEL
1.20.214|Kelurahan Ciganjur - JAKSEL
1.20.215|Kelurahan Srengseng Sawah - JAKSEL
1.20.216|Kelurahan Lenteng Agung - JAKSEL
1.20.217|Kelurahan Tanjung Barat - JAKSEL
1.20.218|Kelurahan Cipedak - JAKSEL
1.20.219|Kecamatan Mampang Prapatan - JAKSEL
1.20.220|Kelurahan Tegal Parang - JAKSEL
1.20.221|Kelurahan Mampang Prapatan - JAKSEL
1.20.222|Kelurahan Pela Mampang - JAKSEL
1.20.223|Kelurahan Kuningan Barat - JAKSEL
1.20.224|Kelurahan Bangka - JAKSEL
1.20.225|Kecamatan Pancoran - JAKSEL
1.20.226|Kelurahan Pancoran - JAKSEL
1.20.227|Kelurahan Duren Tiga - JAKSEL
1.20.228|Kelurahan Kalibata - JAKSEL
1.20.229|Kelurahan Rawa Jati - JAKSEL
1.20.230|Kelurahan Pangadegan - JAKSEL
1.20.231|Kelurahan Cikoko - JAKSEL
1.20.232|Kecamatan Kebayoran Baru - JAKSEL
1.20.233|Kelurahan Gandaria Utara - JAKSEL
1.20.234|Kelurahan Cipete Utara - JAKSEL
1.20.235|Kelurahan Pulo - JAKSEL
1.20.236|Kelurahan Petogogan - JAKSEL
1.20.237|Kelurahan Melawai - JAKSEL
1.20.238|Kelurahan Kramat Pela - JAKSEL
1.20.239|Kelurahan Gunung - JAKSEL
1.20.240|Kelurahan Selong - JAKSEL
1.20.241|Kelurahan Rawa Barat - JAKSEL
1.20.242|Kelurahan Senayan - JAKSEL
1.20.243|Kecamatan Setiabudi - JAKSEL
1.20.244|Kelurahan Karet Semanggi - JAKSEL
1.20.245|Kelurahan Kuningan Timur - JAKSEL
1.20.246|Kelurahan Karet Kuningan - JAKSEL
1.20.247|Kelurahan Karet - JAKSEL
1.20.248|Kelurahan Menteng Atas - JAKSEL
1.20.249|Kelurahan Pasar Manggis - JAKSEL
1.20.250|Kelurahan Guntur - JAKSEL
1.20.251|Kelurahan Setiabudi - JAKSEL
1.20.252|Kecamatan Tebet - JAKSEL
1.20.253|Kelurahan Menteng Dalam - JAKSEL
1.20.254|Kelurahan Tebet Barat - JAKSEL
1.20.255|Kelurahan Tebet Timur - JAKSEL
1.20.256|Kelurahan Kebon Baru - JAKSEL
1.20.257|Kelurahan Bukit Duri - JAKSEL
1.20.258|Kelurahan Manggarai Selatan - JAKSEL
1.20.259|Kelurahan Manggarai - JAKSEL
1.20.262|Kelurahan Pondok Labu - JAKSEL
1.20.263|Kelurahan Cilandak Barat - JAKSEL
1.20.264|Kelurahan Gandaria Selatan - JAKSEL
1.20.265|Kelurahan Cipete Selatan - JAKSEL
1.20.363|Kecamatan Cilandak - JAKSEL
1.20.364|Kelurahan Lebak Bulus - JAKSEL
1.20.269|Kota Administrasi Jakarta Timur
1.20.270|Kecamatan Pasar Rebo - JAKTIM
1.20.271|Kelurahan Pekayon - JAKTIM
1.20.272|Kelurahan Kalisari - JAKTIM
1.20.273|Kelurahan Kampung Baru - JAKTIM
1.20.274|Kelurahan Cijantung - JAKTIM
1.20.275|Kelurahan Gedong - JAKTIM
1.20.276|Kecamatan Ciracas - JAKTIM
1.20.277|Kelurahan Cibubur - JAKTIM
1.20.278|Kelurahan Kampung Rambutan - JAKTIM
1.20.279|Kelurahan Kelapa Dua Wetan - JAKTIM
1.20.280|Kelurahan Susukan - JAKTIM
1.20.281|Kelurahan Ciracas - JAKTIM
1.20.282|Kecamatan Cipayung - JAKTIM
1.20.283|Kelurahan Cipayung - JAKTIM
1.20.284|Kelurahan Lubang Buaya - JAKTIM
1.20.285|Kelurahan Ceger - JAKTIM
1.20.286|Kelurahan Bambu Apus - JAKTIM
1.20.287|Kelurahan Setu - JAKTIM
1.20.288|Kelurahan Cilangkap - JAKTIM
1.20.289|Kelurahan Munjul - JAKTIM
1.20.290|Kelurahan Pondok Rangon - JAKTIM
1.20.291|Kecamatan Kramat Jati - JAKTIM
1.20.292|Kelurahan Kampung Tengah - JAKTIM
1.20.293|Kelurahan Kampung Dukuh - JAKTIM
1.20.294|Kelurahan Kramat Jati - JAKTIM
1.20.295|Kelurahan Batu Ampar - JAKTIM
1.20.296|Kelurahan Bale Kambang - JAKTIM
1.20.297|Kelurahan Cililitan - JAKTIM
1.20.298|Kelurahan Cawang - JAKTIM
1.20.299|Kecamatan Makasar - JAKTIM
1.20.300|Kelurahan Cipinang Melayu - JAKTIM
1.20.301|Kelurahan Halim Perdana Kusuma - JAKTIM
1.20.302|Kelurahan Kebon Pala - JAKTIM
1.20.303|Kelurahan Makasar - JAKTIM
1.20.304|Kelurahan Pinang Ranti - JAKTIM
1.20.305|Kecamatan Jatinegara - JAKTIM
1.20.306|Kelurahan Kampung Melayu - JAKTIM
1.20.307|Kelurahan Bidara Cina - JAKTIM
1.20.308|Kelurahan Bali Mester - JAKTIM
1.20.309|Kelurahan Rawa Bunga - JAKTIM
1.20.310|Kelurahan Cipinang Cempedak - JAKTIM
1.20.311|Kelurahan Cipinang Muara - JAKTIM
1.20.312|Kelurahan Cipinang Besar Selatan - JAKTIM
1.20.313|Kelurahan Cipinang Besar Utara - JAKTIM
1.20.314|Kecamatan Duren Sawit - JAKTIM
1.20.315|Kelurahan Klender - JAKTIM
1.20.316|Kelurahan Pondok Bambu - JAKTIM
1.20.317|Kelurahan Duren Sawit - JAKTIM
1.20.318|Kelurahan Malaka Sari - JAKTIM
1.20.319|Kelurahan Malaka Jaya - JAKTIM
1.20.320|Kelurahan Pondok Kopi - JAKTIM
1.20.321|Kelurahan Pondok Kelapa - JAKTIM
1.20.322|Kecamatan Matraman - JAKTIM
1.20.323|Kelurahan Pisangan Baru - JAKTIM
1.20.324|Kelurahan Utan Kayu Selatan - JAKTIM
1.20.325|Kelurahan Utan Kayu Utara - JAKTIM
1.20.326|Kelurahan Kayu Manis - JAKTIM
1.20.327|Kelurahan Pal Meriam - JAKTIM
1.20.328|Kelurahan Kebon Manggis - JAKTIM
1.20.329|Kecamatan Pulogadung - JAKTIM
1.20.330|Kelurahan Pisangan Timur - JAKTIM
1.20.331|Kelurahan Cipinang - JAKTIM
1.20.332|Kelurahan Jatinegara Kaum - JAKTIM
1.20.333|Kelurahan Pulogadung - JAKTIM
1.20.334|Kelurahan Rawamangun - JAKTIM
1.20.335|Kelurahan Jati - JAKTIM
1.20.336|Kelurahan Kayu Putih - JAKTIM
1.20.337|Kecamatan Cakung - JAKTIM
1.20.338|Kelurahan Jatinegara - JAKTIM
1.20.339|Kelurahan Rawa Terate - JAKTIM
1.20.340|Kelurahan Penggilingan - JAKTIM
1.20.341|Kelurahan Pulo Gebang - JAKTIM
1.20.342|Kelurahan Ujung Menteng - JAKTIM
1.20.343|Kelurahan Cakung Timur - JAKTIM
1.20.344|Kelurahan Cakung Barat - JAKTIM
1.20.349|Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu
1.20.350|Kecamatan Kep.Seribu Utara - Kep. Seribu
1.20.351|Kelurahan P.Panggang - Kep. Seribu
1.20.352|Kelurahan P.Kelapa - Kep. Seribu
1.20.353|Kelurahan P.Harapan - Kep. Seribu
1.20.354|Kecamatan Kep.Seribu Selatan - Kep. Seribu
1.20.355|Kelurahan P.Untung Jawa - Kep. Seribu
1.20.356|Kelurahan P.Tidung - Kep. Seribu
1.20.357|Kelurahan P.Pari - Kep. Seribu
1.20.380|Pejabat Pengelola Keuangan Daerah
1.20.396|Badan Pelayanan Terpadu Satu Pintu
1.20.397|BADAN PELAYANAN PENGADAAN BARANG JASA
1.20.501|Sekretariat Dewan Pengurus KORPRI Provinsi
1.20.502|Badan Penanggulangan Bencana Daerah
1.12.001|Kantor Keluarga Berencana - JAKPUS
1.12.002|Kantor Keluarga Berencana - JAKUT
1.12.003|Kantor Keluarga Berencana - JAKBAR
1.12.004|Kantor Keluarga Berencana - JAKSEL
1.12.005|Kantor Keluarga Berencana - JAKTIM
1.22.001|BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB
1.22.002|Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS
1.22.003|Kantor Pemberdayaan Masyarakat dan Perempuan - JAKUT
1.22.004|Kantor Pemberdayaan Masyarakat dan Perempuan - JAKBAR
1.22.005|Kantor Pemberdayaan Masyarakat dan Perempuan - JAKSEL
1.22.006|Kantor Pemberdayaan Masyarakat dan Perempuan - JAKTIM
1.22.007|Kantor Pemberdayaan Masyarakat dan Perempuan, dan Keluarga Berencana Kab. Adm Kep. Seribu
1.22.008|Pusat Pendidikan dan Pelatihan Keluarga Berencana, Pemberdayaan Perempuan dan Pelindungan Anak
1.25.001|DINAS KOMUNIKASI, INFORMATIKA DAN KEHUMASAN
1.25.002|Sudin Komunikasi, Informatika dan Kehumasan - JAKPUS
1.25.003|Sudin Komunikasi, Informatika dan Kehumasan - JAKUT
1.25.004|Sudin Komunikasi, Informatika dan Kehumasan - JAKBAR
1.25.005|Sudin Komunikasi, Informatika dan Kehumasan - JAKSEL
1.25.006|Sudin Komunikasi, Informatika dan Kehumasan - JAKTIM
1.25.007|Sudin Komunikasi, Informatika dan Kehumasan - Kep.Seribu
1.26.001|BADAN PERPUSTAKAAN DAN ARSIP DAERAH
1.26.002|Kantor Perpustakaan dan Arsip Daerah - JAKPUS
1.26.003|Kantor Perpustakaan dan Arsip Daerah - JAKUT
1.26.004|Kantor Perpustakaan dan Arsip Daerah - JAKBAR
1.26.005|Kantor Perpustakaan dan Arsip Daerah - JAKSEL
1.26.006|Kantor Perpustakaan dan Arsip Daerah - JAKTIM
1.26.007|Kantor Perpustakaan dan Arsip Daerah - P. SERIBU
2.03.001|DINAS PERINDUSTRIAN DAN ENERGI
2.03.003|Unit Industri Kerajinan dan Tekstil
2.03.005|Unit Industri Bahan dan Barang Teknik
2.03.006|Sudin Perindustrian dan Energi - JAKPUS
2.03.007|Sudin Perindustrian dan Energi - JAKUT
2.03.008|Sudin Perindustrian dan Energi - JAKBAR
2.03.009|Sudin Perindustrian dan Energi - JAKSEL
2.03.010|Sudin Perindustrian dan Energi - JAKTIM
2.03.012|Sudin Perindustrian dan Energi - Kep. Seribu
1.21.001|UPT Pusat Pengembangan Benih Tanaman Pangan, Hortikultura dan Kehutanan
1.21.006|Unit Pengelola Peredaran Dan Pemanfaatan Hasil Hutan
1.21.007|Pusat Pengujian Mutu dan Promosi Hasil Pertanian
2.02.002|Pusat Produksi, Inspeksi dan Sertifikasi Hasil Perikanan
2.02.005|Pusat Pelayanan Kesehatan Hewan, Teknologi Peternakan Dan Pengujian Mutu Hasil Peternakan
2.02.008|Unit Pengelola Pelabuhan Perikanan
2.02.014|Sudin Kelautan, Pertanian dan Ketahanan Pangan - KEP. SERIBU
2.02.015|Sudin Kelautan, Pertanian dan Ketahanan Pangan - JAKPUS
2.02.016|Sudin Kelautan, Pertanian dan Ketahanan Pangan - JAKUT
2.02.017|Sudin Kelautan, Pertanian dan Ketahanan Pangan - JAKBAR
2.02.018|Sudin Kelautan, Pertanian dan Ketahanan Pangan - JAKSEL
2.02.019|Sudin Kelautan, Pertanian dan Ketahanan Pangan - JAKTIM
2.02.020|Unit Pengelola Rumah Potong Hewan
2.02.021|Pusat Budidaya dan Konservasi Laut
2.05.001|DINAS KELAUTAN, PERTANIAN DAN KETAHANAN PANGAN